test_id,max_num_candidates,start_depth,nl_utterance,target_formula,init_candidates_time,num_initial_candidates,num_attempts_candidates_generation,num_questions_asked,average_question_waiting,average_disambiguation_duration,num_disambiguations,formula_is_found,result_formula
task4.json320,3,2,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),3.382727,3,3,1,0.050103,0.33197048702277243,1,True,eventually(pick_two_x_square_item_at_4_0)
task4.json321,3,2,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),2.218462,3,3,1,0.047939,0.3286066160071641,1,True,eventually(pick_two_x_square_item_at_4_0)
task4.json322,3,2,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),2.68846,3,3,2,0.202878,0.31608537305146456,2,True,eventually(pick_two_x_square_item_at_4_0)
task4.json330,3,3,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),6.255977,3,5,1,11.589656,5.934835960972123,2,False,"before(at_4_0,pick_two_x_square_item_at_4_0)"
task4.json331,3,3,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),6.815127,3,5,2,0.249302,0.37854783807415515,2,False,"before(at_4_0,pick_two_x_square_item_at_4_0)"
task4.json332,3,3,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),7.724482,3,5,2,0.2442635,0.36751226033084095,2,False,"before(at_4_0,pick_two_x_square_item_at_4_0)"
task4.json620,6,2,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),25.235154,6,12,3,3.950756666666667,3.9869367913343012,3,True,eventually(pick_two_x_square_item_at_4_0)
task4.json621,6,2,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),14.479268,6,9,2,5.474415,5.573580155498348,2,True,eventually(pick_two_x_square_item_at_4_0)
task4.json622,6,2,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),28.560028,6,10,2,5.4373765,5.536836613435298,2,True,eventually(pick_two_x_square_item_at_4_0)
task4.json630,6,3,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),50.398882,6,12,2,0.257679,0.36823338945396245,2,False,"before(at_4_0,pick_two_x_square_item_at_4_0)"
task4.json631,6,3,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),52.86361,6,12,3,0.30460166666666666,0.3540294503327459,3,False,"before(at_4_0,pick_two_x_square_item_at_4_0)"
task4.json632,6,3,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),60.268925,6,13,3,2.031530333333333,2.100903588657578,3,False,"before(at_1_4,pick_two_x_x_item_at_4_0)"
task4.json1020,10,2,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),69.893635,10,17,2,0.273889,0.3607863545184955,2,True,eventually(pick_two_x_square_item_at_4_0)
task4.json1021,10,2,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),73.945049,10,16,3,0.32466866666666666,0.32951142561311525,3,True,eventually(pick_two_x_square_item_at_4_0)
task4.json1022,10,2,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),80.671301,10,18,2,5.566123500000001,5.64071889501065,2,True,eventually(pick_two_x_square_item_at_4_0)
task4.json1030,10,3,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),116.63763,9,15,5,2.0431396,2.013645512610674,5,False,"before(at_1_4,before(at_4_0,pick_two_x_x_item_at_4_0))"
task4.json1031,10,3,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),126.151725,9,16,2,0.26409,0.3435201966203749,2,False,"before(at_4_0,pick_two_x_square_item_at_4_0)"
task4.json1032,10,3,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),129.578895,9,16,2,0.286994,0.3713410295313224,2,False,"before(at_4_0,pick_two_x_square_item_at_4_0)"
task8.json320,3,2,"reach [5,4] by only by going through the water","until(neg(at_dry),at_5_4)",13.679555,3,6,1,0.044293,0.3167062869761139,1,False,eventually(at_5_4)
task8.json321,3,2,"reach [5,4] by only by going through the water","until(neg(at_dry),at_5_4)",13.774061,3,6,1,0.040355,0.36267304606735706,1,False,eventually(at_5_4)
task8.json322,3,2,"reach [5,4] by only by going through the water","until(neg(at_dry),at_5_4)",13.478029,3,5,1,0.043496,0.30514197587035596,1,False,eventually(at_5_4)
task8.json330,3,3,"reach [5,4] by only by going through the water","until(neg(at_dry),at_5_4)",8.999532,3,3,1,0.039934,0.30365699413232505,1,False,eventually(at_5_4)
task8.json331,3,3,"reach [5,4] by only by going through the water","until(neg(at_dry),at_5_4)",9.183336,3,3,1,0.039185,0.3689979421906173,1,False,eventually(at_5_4)
task8.json332,3,3,"reach [5,4] by only by going through the water","until(neg(at_dry),at_5_4)",9.045954,3,3,1,0.039275,0.318571322131902,1,False,eventually(at_5_4)
task8.json620,6,2,"reach [5,4] by only by going through the water","until(neg(at_dry),at_5_4)",27.166618,6,9,2,0.2345235,0.3284284999826923,2,False,eventually(at_5_4)
task8.json621,6,2,"reach [5,4] by only by going through the water","until(neg(at_dry),at_5_4)",26.844721,6,7,4,0.9174030000000001,0.946061234222725,4,False,"before(at_1_3,at_5_4)"
task8.json622,6,2,"reach [5,4] by only by going through the water","until(neg(at_dry),at_5_4)",26.79144,6,7,2,3.3887745000000002,3.5090703094610944,2,False,"until(neg(pick_every_red_circle_item_at_4_0),at_5_4)"
task8.json630,6,3,"reach [5,4] by only by going through the water","until(neg(at_dry),at_5_4)",23.128851,6,8,1,0.063229,0.30542103690095246,1,False,eventually(at_5_4)
task8.json631,6,3,"reach [5,4] by only by going through the water","until(neg(at_dry),at_5_4)",24.058117,6,6,1,0.062267,1.695381134049967,1,False,"before(at_0_4,at_5_4)"
task8.json632,6,3,"reach [5,4] by only by going through the water","until(neg(at_dry),at_5_4)",23.910952,6,6,3,1.0976106666666665,1.5840905553971727,3,False,"before(at_3_3,at_5_4)"
task8.json1020,10,2,"reach [5,4] by only by going through the water","until(neg(at_dry),at_5_4)",48.133639,10,14,1,0.090921,0.3533185829874128,1,False,eventually(at_5_4)
task8.json1021,10,2,"reach [5,4] by only by going through the water","until(neg(at_dry),at_5_4)",47.825425,10,14,1,17.718337,8.954222578089684,2,False,eventually(at_5_4)
task8.json1022,10,2,"reach [5,4] by only by going through the water","until(neg(at_dry),at_5_4)",48.31296,10,14,1,17.752223,8.972771728062071,2,False,eventually(at_5_4)
task8.json1030,10,3,"reach [5,4] by only by going through the water","until(neg(at_dry),at_5_4)",44.207959,10,10,2,0.920314,1.6785457883961499,2,True,"until(neg(at_dry),at_5_4)"
task8.json1031,10,3,"reach [5,4] by only by going through the water","until(neg(at_dry),at_5_4)",43.383548,10,11,3,0.6968553333333333,0.7477713298673431,3,False,"before(at_1_3,at_5_4)"
task8.json1032,10,3,"reach [5,4] by only by going through the water","until(neg(at_dry),at_5_4)",43.531162,10,11,2,10.173721,6.8280571346792085,3,False,"before(at_0_4,at_5_4)"
task5.json320,3,2,"get one triangle from [4,0] and then one item from [11,1]","before(pick_one_x_triangle_item_at_4_0,pick_one_x_x_item_at_11_1)",18.393584,3,3,2,0.20160199999999998,0.3094825919251889,2,False,eventually(pick_one_x_square_item_at_11_1)
task5.json321,3,2,"get one triangle from [4,0] and then one item from [11,1]","before(pick_one_x_triangle_item_at_4_0,pick_one_x_x_item_at_11_1)",20.159541,3,3,2,0.2035735,0.31925497157499194,2,False,eventually(pick_one_x_square_item_at_11_1)
task5.json322,3,2,"get one triangle from [4,0] and then one item from [11,1]","before(pick_one_x_triangle_item_at_4_0,pick_one_x_x_item_at_11_1)",21.477425,3,3,2,0.2017075,0.31394731416366994,2,False,eventually(pick_one_x_square_item_at_11_1)
task5.json330,3,3,"get one triangle from [4,0] and then one item from [11,1]","before(pick_one_x_triangle_item_at_4_0,pick_one_x_x_item_at_11_1)",41.725533,3,4,1,0.045227,3.004512229003012,1,True,"before(pick_one_x_triangle_item_at_4_0,pick_one_x_x_item_at_11_1)"
task5.json331,3,3,"get one triangle from [4,0] and then one item from [11,1]","before(pick_one_x_triangle_item_at_4_0,pick_one_x_x_item_at_11_1)",40.940244,3,4,2,5.053151,5.21074258047156,2,False,"before(pick_one_yellow_x_item_at_4_0,pick_one_x_x_item_at_11_1)"
task5.json332,3,3,"get one triangle from [4,0] and then one item from [11,1]","before(pick_one_x_triangle_item_at_4_0,pick_one_x_x_item_at_11_1)",46.474344,3,5,2,0.22797599999999998,1.634295788477175,2,False,"before(pick_one_yellow_triangle_item_at_4_0,pick_one_blue_x_item_at_11_1)"
task5.json620,6,2,"get one triangle from [4,0] and then one item from [11,1]","before(pick_one_x_triangle_item_at_4_0,pick_one_x_x_item_at_11_1)",71.608412,6,6,4,1.0152465,1.0281734833843075,4,False,"before(pick_one_yellow_triangle_item_at_4_0,pick_one_x_square_item_at_11_1)"
task5.json621,6,2,"get one triangle from [4,0] and then one item from [11,1]","before(pick_one_x_triangle_item_at_4_0,pick_one_x_x_item_at_11_1)",76.19165,6,6,4,0.8749347500000001,0.8869144162745215,4,True,"before(pick_one_x_triangle_item_at_4_0,pick_one_x_x_item_at_11_1)"
task5.json622,6,2,"get one triangle from [4,0] and then one item from [11,1]","before(pick_one_x_triangle_item_at_4_0,pick_one_x_x_item_at_11_1)",79.399586,6,6,3,1.0973783333333336,1.1415165894043942,3,False,"before(pick_one_yellow_x_item_at_4_0,pick_one_x_square_item_at_11_1)"
task5.json630,6,3,"get one triangle from [4,0] and then one item from [11,1]","before(pick_one_x_triangle_item_at_4_0,pick_one_x_x_item_at_11_1)",142.914513,6,10,3,1.2343443333333333,2.1440511980714896,3,False,"before(pick_one_x_triangle_item_at_4_0,pick_one_blue_x_item_at_11_1)"
task5.json631,6,3,"get one triangle from [4,0] and then one item from [11,1]","before(pick_one_x_triangle_item_at_4_0,pick_one_x_x_item_at_11_1)",143.788656,6,9,4,1.516847,2.1565490070497617,4,True,"before(pick_one_x_triangle_item_at_4_0,pick_one_x_x_item_at_11_1)"
task5.json632,6,3,"get one triangle from [4,0] and then one item from [11,1]","before(pick_one_x_triangle_item_at_4_0,pick_one_x_x_item_at_11_1)",151.192522,6,9,2,0.2384675,1.9123126009944826,2,False,"before(pick_one_x_x_item_at_4_0,pick_one_x_x_item_at_11_1)"
task5.json1020,10,2,"get one triangle from [4,0] and then one item from [11,1]","before(pick_one_x_triangle_item_at_4_0,pick_one_x_x_item_at_11_1)",186.829673,10,13,6,1.1677818333333334,1.11328143812716,6,True,"before(pick_one_x_triangle_item_at_4_0,pick_one_x_x_item_at_11_1)"
task5.json1021,10,2,"get one triangle from [4,0] and then one item from [11,1]","before(pick_one_x_triangle_item_at_4_0,pick_one_x_x_item_at_11_1)",201.370813,10,15,5,1.3056971999999998,1.2734354576095939,5,False,"before(pick_one_x_triangle_item_at_4_0,pick_one_x_square_item_at_11_1)"
task5.json1022,10,2,"get one triangle from [4,0] and then one item from [11,1]","before(pick_one_x_triangle_item_at_4_0,pick_one_x_x_item_at_11_1)",201.263574,10,12,6,1.1865845000000002,1.1297606490164374,6,True,"before(pick_one_x_triangle_item_at_4_0,pick_one_x_x_item_at_11_1)"
task5.json1030,10,3,"get one triangle from [4,0] and then one item from [11,1]","before(pick_one_x_triangle_item_at_4_0,pick_one_x_x_item_at_11_1)",525.787813,10,15,3,1.1263786666666666,2.25694913091138,3,True,"before(pick_one_x_triangle_item_at_4_0,pick_one_x_x_item_at_11_1)"
task5.json1031,/,/,/,/,timeout,/,/,/,/,/,/,/,/
task5.json1032,10,3,"get one triangle from [4,0] and then one item from [11,1]","before(pick_one_x_triangle_item_at_4_0,pick_one_x_x_item_at_11_1)",560.275088,10,16,3,1.3785229999999997,2.292963460631048,3,False,"before(pick_one_x_triangle_item_at_4_0,pick_one_blue_x_item_at_11_1)"
task9.json320,3,2,"first get one red item from [7,4] and afterwards one green item from [10,8]","before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)",39.595667,3,3,1,0.042909,0.3271282010246068,1,False,eventually(pick_one_green_triangle_item_at_10_8)
task9.json321,3,2,"first get one red item from [7,4] and afterwards one green item from [10,8]","before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)",41.088376,3,3,1,0.042743,0.3267377079464495,1,False,eventually(pick_one_green_triangle_item_at_10_8)
task9.json322,3,2,"first get one red item from [7,4] and afterwards one green item from [10,8]","before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)",42.412122,3,3,1,0.043159,0.32211751490831375,1,False,eventually(pick_one_green_triangle_item_at_10_8)
task9.json330,3,3,"first get one red item from [7,4] and afterwards one green item from [10,8]","before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)",74.46521,3,5,1,0.046604,3.1213399588596076,1,True,"before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)"
task9.json331,3,3,"first get one red item from [7,4] and afterwards one green item from [10,8]","before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)",75.72421,3,4,2,1.522124,3.1592366261174902,2,True,"before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)"
task9.json332,3,3,"first get one red item from [7,4] and afterwards one green item from [10,8]","before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)",74.716537,3,4,2,1.820083,1.9641780714737251,2,True,"before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)"
task9.json620,6,2,"first get one red item from [7,4] and afterwards one green item from [10,8]","before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)",123.649658,6,7,4,1.04834725,1.0619761460111476,4,True,"before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)"
task9.json621,6,2,"first get one red item from [7,4] and afterwards one green item from [10,8]","before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)",125.732666,6,7,5,0.9320662000000001,0.9229124116245657,5,True,"before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)"
task9.json622,6,2,"first get one red item from [7,4] and afterwards one green item from [10,8]","before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)",129.053272,6,7,4,0.97567325,0.9868206941755489,4,True,"before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)"
task9.json630,6,3,"first get one red item from [7,4] and afterwards one green item from [10,8]","before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)",209.296319,6,11,2,0.263127,2.0071300325216725,2,True,"before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)"
task9.json631,6,3,"first get one red item from [7,4] and afterwards one green item from [10,8]","before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)",21.871302,6,8,2,0.271891,1.8644611559575424,2,True,"before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)"
task9.json632,6,3,"first get one red item from [7,4] and afterwards one green item from [10,8]","before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)",43.86143,6,11,3,2.2353276666666666,2.2954616846206286,3,True,"before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)"
task9.json1020,10,2,"first get one red item from [7,4] and afterwards one green item from [10,8]","before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)",33.531407,10,13,4,1.05852375,1.0523295314633287,4,True,"before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)"
task9.json1021,10,2,"first get one red item from [7,4] and afterwards one green item from [10,8]","before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)",43.406664,10,15,4,1.0265255,1.0170351985725574,4,True,"before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)"
task9.json1022,10,2,"first get one red item from [7,4] and afterwards one green item from [10,8]","before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)",44.966543,10,12,4,1.13901925,1.1277312187594362,4,True,"before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)"
task9.json1030,10,3,"first get one red item from [7,4] and afterwards one green item from [10,8]","before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)",150.177664,10,15,2,11.033774,8.560487902568033,3,True,"before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)"
task9.json1031,10,3,"first get one red item from [7,4] and afterwards one green item from [10,8]","before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)",88.387315,10,11,3,2.261209,3.4310211329720914,3,True,"before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)"
task9.json1032,10,3,"first get one red item from [7,4] and afterwards one green item from [10,8]","before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)",162.551642,10,16,3,5.156453333333333,6.172666213707998,3,True,"before(pick_one_red_x_item_at_7_4,pick_one_green_x_item_at_10_8)"
task0.json320,3,2,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",13.506902,3,7,1,0.056143,1.3924985111225396,1,False,eventually(at_6_4)
task0.json321,3,2,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",12.753659,3,5,1,0.062445,1.3989927088841796,1,False,eventually(at_6_4)
task0.json322,3,2,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",13.190656,3,6,2,0.8511015000000001,1.4547593735624105,2,False,"before(at_dry,at_6_4)"
task0.json330,3,3,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",10.039984,3,5,2,0.9485459999999999,1.6579790110699832,2,False,"before(at_3_3,at_6_4)"
task0.json331,3,3,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",10.005529,3,5,2,0.202357,0.8406789664877579,2,False,"before(neg(at_6_4),at_6_4)"
task0.json332,3,3,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",9.920233,3,4,2,0.196213,0.8437042274745181,2,False,"before(neg(at_6_4),at_6_4)"
task0.json620,6,2,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",26.800284,6,12,3,0.742642,1.1051471436706681,3,True,"before(neg(at_dry),at_6_4)"
task0.json621,6,2,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",24.82839,6,9,2,0.816463,1.4406655769562349,2,True,"before(neg(at_dry),at_6_4)"
task0.json622,6,2,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",25.657317,6,10,3,1.10627,1.4702617750347902,3,True,"before(neg(at_dry),at_6_4)"
task0.json630,6,3,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",21.378787,6,7,4,0.9712887499999999,1.2787264089565724,4,True,"before(neg(at_dry),at_6_4)"
task0.json631,6,3,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",40.330577,6,13,3,1.1602033333333333,1.5128018139706303,3,True,"before(neg(at_dry),at_6_4)"
task0.json632,6,3,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",22.118577,6,8,4,0.9446575000000001,1.256351423508022,4,True,"before(neg(at_dry),at_6_4)"
task0.json1020,10,2,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",67.994917,10,20,2,0.8588804999999999,1.4318272885866463,2,True,"before(neg(at_dry),at_6_4)"
task0.json1021,10,2,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",43.946874,10,15,4,1.3357,1.5413915689568967,4,True,"before(neg(at_dry),at_6_4)"
task0.json1022,10,2,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",44.738811,10,16,3,0.7163203333333333,1.0774655510516216,3,True,"before(neg(at_dry),at_6_4)"
task0.json1030,10,3,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",61.649563,9,15,3,1.0692646666666665,1.4551699616325398,3,True,"before(neg(at_dry),at_6_4)"
task0.json1031,10,3,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",62.359182,9,16,3,1.0932886666666668,1.4624929056347657,3,True,"before(neg(at_dry),at_6_4)"
task0.json1032,10,3,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",62.053999,10,14,2,0.9039440000000001,1.6183623149991035,2,True,"before(neg(at_dry),at_6_4)"
task3.json320,3,2,"take all green from [7,4] to water","before(pick_every_green_x_item_at_7_4,neg(at_dry))",40.633881,3,4,2,0.715594,0.843887365073897,2,False,"before(pick_three_green_x_item_at_7_4,at_5_4)"
task3.json321,3,2,"take all green from [7,4] to water","before(pick_every_green_x_item_at_7_4,neg(at_dry))",43.710323,3,5,2,0.695783,0.8206545624416322,2,False,"before(pick_three_green_x_item_at_7_4,at_5_4)"
